id,black_fruit,citrus_fruit,dried_fruit,earth,floral,microbio,non_oak,oak,red_fruit,spices,tree_fruit,tropical_fruit,vegetal
1471,1,,,1,,,,1,,,,,
1651,1,,,1,,,,1,,,,,
1652,1,,,1,,,,1,,,,,
1653,,,,1,,,,1,1,,,,
1654,,,,1,,,,1,1,,,,
1658,1,,,1,,,,1,,,,,
1659,1,,,1,,,,1,,,,,
1675,,,,1,,,,1,1,,,,
1693,,1,,1,,,,,,,1,,
1794,,,,1,,,,1,1,,,,
1835,,,1,1,,,,1,,,,,
1868,1,,,1,,,,1,,,,,
1869,1,,,1,,,,1,,,,,
1870,1,,,1,,,,1,,,,,
1872,,1,,,,,,1,,,1,,
1873,1,,,1,,,,1,,,,,
1977,1,,,1,,,,1,,,,,
1978,1,,,1,,,,1,,,,,
1979,1,,,1,,,,1,,,,,
2396,1,,,1,,,,1,,,,,
2468,1,,,1,,,,1,,,,,
2628,,1,,,,,,,,,1,1,
2656,1,,,1,,,,1,,,,,
2868,,,,1,,,,1,1,,,,
2923,,1,,,,,,1,,,1,,
3110,1,,,1,,,,1,,,,,
3714,1,,,,,,,1,1,,,,
3726,1,,,,,,,1,1,,,,
3908,1,,,1,,,,1,,,,,
4016,1,,,1,,,,1,,,,,
4039,1,,,,,,,1,,1,,,
4086,1,,,1,,,,1,,,,,
4089,1,,,1,,,,1,,,,,
4091,1,,,1,,,,1,,,,,
4142,1,,,1,,,,1,,,,,
4792,1,,,1,,,,1,,,,,
4848,1,,,1,,,,1,,,,,
4948,1,,,1,,,,1,,,,,
4985,,1,,1,,,,,,,1,,
5078,1,,,1,,,,1,,,,,
5080,1,,,1,,,,1,,,,,
5174,1,,,,,,,1,1,,,,
5775,,,,1,,,,1,1,,,,
6020,1,,,1,,,,1,,,,,
6162,1,,,,,,,1,,1,,,
6168,1,,,,,,,1,,1,,,
7082,,1,,,,,1,,,,1,,
7103,1,,,,,,,1,1,,,,
7105,1,,,,,,,1,1,,,,
7493,1,,,1,,,,1,,,,,
7495,1,,,1,,,,1,,,,,
7768,1,,,1,,,,1,,,,,
7780,1,,,1,,,,1,,,,,
7973,,,,1,,,,1,1,,,,
7976,,,,1,,,,1,1,,,,
8036,1,,,1,,,,1,,,,,
8039,1,,,1,,,,1,,,,,
8184,1,,,1,,,,1,,,,,
8190,1,,,1,,,,1,,,,,
8195,1,,1,,,,,1,,,,,
8231,1,,,1,,,,1,,,,,
8305,,1,,,,,1,,1,,,,
8967,1,,,1,,,,1,,,,,
8974,1,,,1,,,,1,,,,,
8998,,1,,1,,,,1,,,,,
9001,,,,1,,,,1,,,1,,
9119,,,,1,,,,1,1,,,,
9220,1,,,1,,,,1,,,,,
9710,,,,1,,,,1,1,,,,
9711,1,,,1,,,,1,,,,,
9712,,,,1,,,,1,1,,,,
9958,1,,,1,,,,1,,,,,
9997,1,,,,,,,1,1,,,,
9998,1,,,,,,,1,,1,,,
10000,,,,1,,,,1,1,,,,
10175,1,,,1,,,,1,,,,,
10625,,,,1,,,,1,1,,,,
10998,,,,1,,,,1,1,,,,
11001,1,,,1,,,,1,,,,,
11605,1,,,1,,,,1,,,,,
11607,1,,,1,,,,1,,,,,
11733,1,,,1,,,,1,,,,,
11781,,1,,,,,1,,,,1,,
11824,,,,1,,,,1,1,,,,
11825,1,,,,,,,1,1,,,,
11890,1,,,,,,,1,1,,,,
11956,,,,1,,,1,,,,1,,
12085,1,,,1,,,,1,,,,,
12393,1,,1,,,,,1,,,,,
12405,1,,,1,,,,1,,,,,
12687,1,,,1,,,,1,,,,,
13186,1,,,1,,,,1,,,,,
13330,1,,,1,,,,1,,,,,
13632,1,,,1,,,,1,,,,,
13689,1,,,1,,,,1,,,,,
13759,1,,,1,,,,1,,,,,
13796,,1,,1,,,,,,,,1,
13799,,,,,,,,1,,,1,1,
13800,,,,1,,,,1,1,,,,
13801,1,,,1,,,,1,,,,,
14362,1,,,1,,,,1,,,,,
14847,1,,,1,,,,1,,,,,
15615,,1,,,,,1,,,,1,,
15627,1,,,1,,,,1,,,,,
15944,,,,1,,,,1,1,,,,
16226,1,,,,,,,1,1,,,,
16227,1,,,,,,,1,1,,,,
16504,1,,,,,,,1,1,,,,
16505,1,,,1,,,,1,,,,,
16507,,,,,,,,1,,,1,1,
16508,1,,,,,,,1,1,,,,
16778,1,,,1,,,,1,,,,,
16786,,1,,1,,,,,,,1,,
16833,1,,,1,,,,1,,,,,
16963,,,,1,,,,1,,,1,,
16965,1,,,,,,,1,1,,,,
16966,1,,,1,,,,1,,,,,
17102,1,,,1,,,,1,,,,,
17607,1,,,,,,,1,,1,,,
17656,1,,,1,,,,1,,,,,
17969,1,,,1,,,,1,,,,,
17998,1,,,1,,,,1,,,,,
18313,1,,,1,,,,1,,,,,
18322,1,,,,,,,1,,1,,,
18323,1,,,1,,,,1,,,,,
18474,1,,,,,,,1,,1,,,
18529,1,,,,,,,1,1,,,,
18555,1,,,1,,,,1,,,,,
18556,1,,,1,,,,1,,,,,
18557,1,,,1,,,,1,,,,,
18715,1,,,,,,,1,1,,,,
18929,,1,,,,,1,,,,1,,
18931,,,,,,,1,1,,,1,,
18978,,1,,,,,,,,,,1,1
19265,,,,1,,,,1,1,,,,
19481,1,,,1,,,,1,,,,,
19919,,1,,1,,,,,,,1,,
19923,,1,,,,,1,,,,1,,
20644,1,,,1,,,,1,,,,,
20658,1,,,1,,,,1,,,,,
20663,1,,,1,,,,1,,,,,
20717,1,,,1,,,,1,,,,,
20810,,1,,1,,,,,,,1,,
21053,,,,1,,,,1,1,,,,
21058,,,,1,,,,1,1,,,,
21585,1,,,1,,,,1,,,,,
21646,1,,,,,,,1,1,,,,
21929,1,,,1,,,,1,,,,,
22175,,,,1,,,,1,1,,,,
22224,,1,,1,,,,,,,1,,
22447,1,,,1,,,,1,,,,,
22448,1,,,1,,,,1,,,,,
22550,,,,1,,,,1,1,,,,
22551,,,,1,,,,1,1,,,,
22554,,,,1,,,,1,1,,,,
22685,1,,,1,,,,1,,,,,
22687,1,,,1,,,,1,,,,,
22917,,,,1,,,,1,1,,,,
22954,1,,,1,,,,1,,,,,
23051,,1,,,,,1,,1,,,,
23111,1,,,1,,,,1,,,,,
23264,,,,1,,,,1,1,,,,
23293,1,,,1,,,,1,,,,,
23294,1,,,,,,,1,1,,,,
23337,1,,,1,,,,1,,,,,
23366,1,,,1,,,,1,,,,,
23627,1,,,1,,,,1,,,,,
23769,2,,,2,,,,2,,,,,
23793,1,,,1,,,,1,,,,,
23815,1,,,1,,,,1,,,,,
24056,1,,,,,,,1,,1,,,
24104,,,,1,,,,1,1,,,,
24109,,,,1,,,,1,1,,,,
24138,,1,,,,,,1,,,1,,
24139,,1,,,,,,1,,,1,,
24984,1,,,1,,,,1,,,,,
25474,1,,,1,,,,1,,,,,
27234,1,,,,,,,1,,1,,,
28214,1,,,1,,,,1,,,,,
31124,1,,,,,,,1,,1,,,
33284,,,1,,,,1,1,,,,,
33734,,,,1,,,,1,1,,,,
35374,1,,,,,,,1,1,,,,
43974,1,,,1,,,,1,,,,,
43984,1,,,1,,,,1,,,,,
43994,1,,,,,,,1,1,,,,
45284,1,,,1,,,,1,,,,,
48314,1,,,1,,,,1,,,,,
48994,1,,,1,,,,1,,,,,
50644,,1,,1,,,,,,,1,,
51734,1,,,1,,,,1,,,,,
51934,1,,,1,,,,1,,,,,
52044,1,,,1,,,,1,,,,,
52084,1,,,1,,,,1,,,,,
52094,1,,,1,,,,1,,,,,
52104,,,,,,,,1,,,1,1,
53034,1,,,1,,,,1,,,,,
54214,,,,1,,,,1,1,,,,
54254,,,,1,,1,,1,,,,,
58884,1,,,1,,,,1,,,,,
59754,1,,,1,,,,1,,,,,
60984,1,,,,,,,1,1,,,,
61034,,1,,,,,,,1,,1,,
61134,,,,1,,,,1,1,,,,
61744,1,,,1,,,,1,,,,,
61754,1,,,1,,,,1,,,,,
62594,1,,,1,,,,1,,,,,
65114,,,,1,,,,1,1,,,,
66104,,,,1,,,,1,1,,,,
66134,,,,1,,,,1,1,,,,
66164,,,,1,,,,1,1,,,,
66184,1,,,1,,,,1,,,,,
66194,1,,,1,,,,1,,,,,
66204,,1,,1,,,,1,,,,,
66214,,,,1,,,,1,1,,,,
66224,1,,,1,,,,1,,,,,
66294,1,,,1,,,,1,,,,,
66314,1,,,,,,,1,1,,,,
66494,1,,,,,,,1,,1,,,
67054,1,,,,,,,1,1,,,,
67074,1,,,,,,,1,1,,,,
68824,1,,,1,,,,1,,,,,
68834,1,,,,,,,1,1,,,,
68844,1,,,,,,,1,1,,,,
68854,1,,,,,,,1,1,,,,
68864,,,,,,,,1,,,1,1,
68874,1,,,1,,,,1,,,,,
68884,1,,,1,,,,1,,,,,
68894,1,,,,,,,1,,1,,,
68904,1,,,,,,,1,1,,,,
68924,,,,,,,,1,,,1,1,
69154,1,,,,,,,1,1,,,,
69744,1,,1,,,,,1,,,,,
71264,1,,,1,,,,1,,,,,
71274,1,,,1,,,,1,,,,,
71304,1,,,,,,,1,,1,,,
72624,1,,,1,,,,1,,,,,
73478,2,,,2,,,,2,,,,,
73555,1,,,1,,,,1,,,,,
73593,1,,,,,,,1,,1,,,
73620,,,,1,,,,1,1,,,,
74298,,1,,,,,1,,,,1,,
74299,,1,,,,,1,,1,,,,
74304,,1,,,,,1,,,,1,,
74306,,1,,,,,1,,,,1,,
74336,,1,,,,,,1,,,1,,
74337,1,,,1,,,,1,,,,,
74338,1,,,1,,,,1,,,,,
