id	name	rating
22550	Barolo	4.2
79282	Quimera	4.2
7976	Viña Alberdi Reserva	4.1
1921801	Macán Clásico	4.3
1141123	Vintage Brut Champagne	4.3
74299	Rosé Brut Champagne (Vintage)	4.3
1654	Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva	4.1
68894	Syrah - Syrah	4.2
1178883	Ca'Marcanda Magari	4.2
77888	Numanthia	4.3
17998	Terre Brune Superiore Carignano del Sulcis	4.2
8302966	Cuvée No 743 Extra Brut Champagne	4.3
1129305	Pauillac (Grand Cru Classé)	4.2
73478	Haut-Médoc (Grand Cru Classé)	4.2
73478	Haut-Médoc (Grand Cru Classé)	4.2
73478	Haut-Médoc (Grand Cru Classé)	4.2
73478	Haut-Médoc (Grand Cru Classé)	4.2
80045	Margaux (Grand Cru Classé)	4.2
5498086	Le Petit Clos	4.3
1870	Malbec	4.2
79265	Saint-Julien (Grand Cru Classé)	4.3
6897394	La Piu Belle Rosé	4.2
79852	Vintage Rosé Brut Champagne	4.3
10625	Brunello di Montalcino	4.2
2178564	Cocodrilo Red Blend	4.2
82613	Pessac-Léognan (Grand Cru Classé de Graves)	4.4
1148035	Pauillac (Grand Cru Classé)	4.2
98195	Margaux (Grand Cru Classé)	4.2
1417313	Cordillera Reserva Especial Carmenère	3.8
1838753	Barsac (Grand Cru Classé)	4.2
1191976	Les Cédres Châteauneuf-du-Pape	4.1
23769	Margaux (Grand Cru Classé)	4.2
23769	Margaux (Grand Cru Classé)	4.2
23769	Margaux (Grand Cru Classé)	4.2
23769	Margaux (Grand Cru Classé)	4.2
1647617	Franco	4.2
2546192	Barone Nebbiolo	4.1
1196206	Reserva	4.2
13801	Syrah	4.1
1164787	Cedro do Noval	3.9
1172675	Cot Limited Edition	4.0
7303708	Terroir Selection Chardonnay	4.2
1301700	Terroir Hunter Carignan (T.H.)	4.1
1383405	Douro Vinhas Velhas Grande Reserva	4.0
1301225	RSV Reserva Moscatel Espumante	4.0
7149584	Gran Reserva Cabernet Sauvignon - Merlot	4.1
5054371	Alice Vieira de Sousa Reserva Tinto	3.9
4024770	Ans d'Age 20 Years Old Port	4.1
1686164	Pinot Rosé Extra Dry	4.0
1162214	Millesimé Cabernet Sauvignon	3.9
1099118	Vecchie Vigne Brunello di Montalcino	4.3
1302624	Bricco delle Viole Barolo	4.1
2050619	Primitivo	4.0
1249804	Chablis Premier Cru Vaillons	3.9
3116929	Expressoes	4.1
8183449	Origine	4.1
1190565	Rubrica Tinto	4.0
1555830	Adrianna Vineyard White Bones Chardonnay	4.3
2156915	Tradição Tinto	4.4
6909826	Grande Reserva Tinto	4.4
69744	Vintage Port	4.5
94968	Brunello di Montalcino	4.2
2038623	Saint-Émilion Grand Cru (Premier Grand Cru Classé)	4.3
1301873	Gran Tannat Premium	4.3
2396	Alicante Bouschet - Cabernet Sauvignon	4.2
3026602	Grand Cru Limarí	4.4
1196474	Tinto	4.3
1434108	Grande Rocim Reserva Tinto	4.2
9269450	Grand Cru Curicó	4.4
6003565	40 Years Old Aged Tawny Porto	4.4
2280924	Elísio	4.3
1300368	Don Amado	4.3
825162	Gigondas Le Claux	4.3
6370866	4000 Black Blend	4.3
1166468	I Castei Campo Casalin Amarone della Valpolicella Classico	4.3
77305	Cerequio Barolo	4.4
1631901	Larose Red Blend	4.4
1153456	Gran Malbec (X)	4.3
1213299	Vosne-Romanée	4.2
3882585	20 Years Old Tawny Port	4.4
79814	Flor de Pingus	4.5
18931	La Grande Année Brut Champagne	4.5
1658	Tenuta Guado al Tasso Bolgheri Superiore	4.4
4086	Almaviva	4.6
1176121	Ben Ryé Passito di Pantelleria	4.5
1247692	Bramare Malbec Uco Valley	4.4
1234111	EPU	4.4
1235058	Gran Enemigo	4.5
2926759	Gran Enemigo Single Vineyard Agrelo Cabernet Franc	4.6
1558589	Brunello di Montalcino	4.5
1977	Don Maximiano Founder's Reserve	4.4
9958	Dominus (Christian Moueix)	4.5
1240543	Chryseia Douro	4.5
77172	Toro	4.4
23337	Tinto	4.3
5746163	Vigne Vecchie Primitivo di Manduria	4.5
1468452	Lupi Rezerva	4.5
1176258	Finca Altamira Malbec	4.5
84726	Corte A	4.4
25474	Aconcagua Valley	4.5
9220	Grand Vin de Château Palmer (Grand Cru Classé)	4.5
1125543	Pauillac (Grand Cru Classé)	4.4
16778	Saint-Émilion Grand Cru (Premier Grand Cru Classé)	4.4
81650	Lote 43 Cabernet Sauvignon - Merlot	4.1
2057239	Longitude Blanc de Blancs Champagne Premier Cru	4.2
1132696	Reserva 5 Año	4.1
2407103	Brut Réserve Champagne	4.2
1926947	Primitivo di Manduria Zolla	4.2
1659	Tenuta Guado al Tasso Il Bruciato Bolgheri	4.1
22917	Brunello di Montalcino	4.2
54214	Brunello di Montalcino	4.2
1868	Nicolás Catena Zapata	4.4
1712454	Antonio Castagnedi Amarone della Valpolicella	4.2
9997	Numina Gran Corte	4.2
19923	Grand Vintage Brut Champagne	4.2
1292924	Bonarda	4.3
19265	Barbaresco	4.0
51934	De Sangre Lujan de Cuyo Malbec	4.1
89013	Rioja Reserva	4.1
1108063	Sideral	4.2
2656	Salmos	4.1
16226	Crianza Tinto	4.1
1175699	Alvarinho	4.1
68924	Chardonnay - Chardonnay	4.1
1214739	Amaranta Montepulciano d'Abruzzo	4.3
4091	Pauillac (Grand Cru Classé)	4.1
5072578	Milamore	4.1
1207034	Saint-Émilion Grand Cru (Grand Cru Classé)	4.2
1165226	Les Escondudes Châteauneuf-du-Pape	4.0
1137682	Poggio alle Gazze	4.2
1099398	Pauillac (Grand Cru Classé)	4.1
5602882	Gran Malbec	4.2
1160644	Brunello di Montalcino	4.2
1105367	Esporão Private Selection Branco	4.2
1146329	Il Bugiardo Valpolicella Ripasso Classico Superiore	4.0
5145976	Ice Impérial (Demi-Sec) Rosé Champagne	4.2
4948	Toscana	4.2
2017619	Malbec	4.3
79604	Pinot Noir	4.1
1126954	Saint-Estèphe (Grand Cru Classé)	4.2
74339	Pinot Noir (G Lot)	4.0
2310781	Septimum 7	4.1
2816601	Pequeñas Producciones Chardonnay	4.2
5422166	Azuda Garnacha	4.2
1387012	Rioja Gran Reserva	4.2
8974	Douro Redoma Tinto	4.1
18322	Quinta Generation (5th)	4.1
81732	Sauternes (Grand Cru Classé)	4.2
1202931	Rosso del Conte	4.2
3521385	Blu Onice Aglianico Irpinia	4.2
1143938	Pessac-Léognan (Grand Cru Classé de Graves)	4.1
1150378	Saxa Calida Rosso	4.4
96488	Liguai	4.2
1127871	Meursault 1er Cru 'Les Cras'	4.4
1362343	Passarowitz	4.5
45284	Tinta Roriz	4.4
2463221	Recioto della Valpolicella Classico	4.1
2775976	Petit Verdot	4.0
1721789	Selección Rioja	4.3
2718127	Privée Rosé Brut Champagne	4.4
2154686	Chassagne-Montrachet 1er Cru 'Morgeot'	4.3
1801505	Chambertin Clos de Bèze Grand Cru	4.3
1244218	Orhora Toscana	4.0
1192837	House Of Morandé Red Blend	4.3
7010769	Único	4.5
1837094	Meursault 1er Cru 'Les Bouchères'	4.2
2868	Corton Grand Cru Gréves	4.2
1968079	Vintage Port	4.4
1225068	Reserva Alentejo Tinto	4.1
1128385	Brut (Carte Jaune) Champagne	4.3
21646	Edizione Cinque Autoctoni	4.3
8305	Brut Cuvée Champagne Rosé	4.3
2459848	Cinquanta Collezione	4.3
1382045	Brut (R de Ruinart) Champagne	4.3
23051	Brut Rosé Champagne	4.3
1148298	Brut Rosé Champagne	4.3
77137	Unico	4.7
3908	Pauillac (Premier Grand Cru Classé)	4.6
2545450	Pêra-Manca Tinto	4.7
1724358	Red	4.6
1655970	Grand Vin Pauillac (Premier Grand Cru Classé)	4.6
1911534	Opus One	4.6
1127795	Château Margaux (Premier Grand Cru Classé)	4.6
1135069	Cabernet Sauvignon	4.6
1175427	Valbuena 5º	4.6
1166837	Pomerol	4.7
1870315	Pêra-Manca Branco	4.5
1148747	Saint-Émilion Grand Cru (Premier Grand Cru Classé)	4.6
10175	Saint-Émilion Grand Cru (Premier Grand Cru Classé)	4.6
22447	Bolgheri Superiore	4.6
1293594	Vinha Maria Teresa	4.7
1185290	Cem Reis Reserva Syrah	4.5
1153863	Sauternes	4.7
86870	Gattinara Riserva	4.1
5043165	Grande Réserve Cabernet - Syrah	4.1
18555	Pomerol	4.2
1135081	Cabernet Sauvignon	4.1
1153463	Chardonnay (VIII)	3.9
6805724	Il Potere	4.2
53034	Médoc	3.9
3726697	Massal 1945 Carmenère	4.1
2712173	Rosso di Montalcino	4.0
1155151	Tinto	4.1
1166363	J. Alberto	4.1
1216556	Muros de Melgaço Alvarinho	4.1
81986	Malbec	4.0
1616353	Reserva	3.9
1295318	Quorum (Grande Vindima)	4.0
73555	Margaux (Grand Cru Classé)	4.1
18557	Margaux (Grand Cru Classé)	4.2
5564759	Reserva Tinto	4.1
23815	Le Dix de Los Vascos	4.2
18978	Sauvignon Blanc	4.2
1736416	Ca'Marcanda Promis Toscana	4.1
35374	Tres Picos Garnacha	4.0
2272631	Talò Primitivo di Manduria	4.0
69154	Malbec	4.0
7105	Valpolicella Ripasso (Classico Superiore)	4.0
5772302	Sur Lie Nature	4.1
77560	Malbec	3.9
1849316	Reserva	4.0
67054	Camins del Priorat	4.0
1450641	Pink Moscato	4.1
5080	Guidalberto	4.1
1142314	Meandro Douro Tinto	4.0
1202326	Nocturne Champagne (Sec)	4.1
1187744	Quinta de Ervamoira 10 Year Old Tawny Port	4.1
1153457	Malbec (I)	4.0
16227	Joven Roble Tinto	4.0
21585	Rioja Gran Reserva	4.1
6168	Angels' Share Shiraz	4.0
1496698	Latitude Champagne	4.1
8184	Palazzo della Torre	4.0
4820908	Châteauneuf-du-Pape Sélection	4.1
5402364	Reserva	4.0
5568937	Suadens Campania Bianco	4.1
1166687	Alentejano Monte da Peceguina Branco	3.9
1604779	Cauquenina (Viñas Viejas de Cauquenes)	3.8
1238945	Triple C Red Blend	4.2
4277988	O Luar do Sil Valdeorras Godello Sobre Lias	4.0
78383	Barbera d'Alba Zio Nando	4.0
3851587	Moonlight Race Pinot Noir	4.0
1275606	Martin Alsina Malbec	4.0
