id,name,country,type_id,vintage_type,is_natural,acidity,fizziness,intensity,sweetness,tannin,flavor,rating_count,rating
22550,Barolo,Italia,1,0,False,4.6286,,3.7976847,1.452786,4.346058,"earth,oak,red_fruit,black_fruit,spices,floral,dried_fruit,non_oak,citrus_fruit,microbio,vegetal,tree_fruit,tropical_fruit",19685,4.2
79282,Quimera,Argentina,1,0,False,3.737088,,4.564072,1.717548,3.5641565,"oak,black_fruit,earth,red_fruit,spices,floral,microbio,dried_fruit,citrus_fruit,non_oak,vegetal,tree_fruit",22440,4.2
7976,Viña Alberdi Reserva,España,1,0,False,3.7597203,,3.8634326,1.5432822,3.6969907,"oak,earth,red_fruit,black_fruit,spices,microbio,non_oak,dried_fruit,citrus_fruit,floral,vegetal,tree_fruit,tropical_fruit",33094,4.1
1921801,Macán Clásico,España,1,0,False,3.6297548,,3.8473608,1.8304306,3.7576942,"oak,black_fruit,earth,red_fruit,spices,dried_fruit,non_oak,microbio,floral,citrus_fruit,vegetal,tree_fruit,tropical_fruit",12557,4.3
1141123,Vintage Brut Champagne,France,3,0,False,4.530578,4.457622,4.0287137,,,"non_oak,tree_fruit,citrus_fruit,microbio,earth,oak,vegetal,red_fruit,tropical_fruit,spices,dried_fruit,floral,black_fruit",8040,4.3
74299,Rosé Brut Champagne (Vintage),France,3,0,False,4.382562,4.3016095,3.8310428,,,"red_fruit,citrus_fruit,non_oak,tree_fruit,microbio,earth,oak,black_fruit,vegetal,floral,spices,tropical_fruit,dried_fruit",13206,4.3
1654,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Italia,1,0,False,3.8138127,,3.2518601,1.5728585,3.5019786,"oak,red_fruit,earth,black_fruit,spices,dried_fruit,vegetal,microbio,floral,non_oak,citrus_fruit,tree_fruit,tropical_fruit",39754,4.1
68894,Syrah - Syrah,Argentina,1,0,False,2.8333623,,4.124072,2.0485418,3.3603761,"oak,black_fruit,spices,earth,red_fruit,microbio,floral,non_oak,vegetal,dried_fruit",12783,4.2
1178883,Ca'Marcanda Magari,Italia,1,0,False,3.4724545,,3.7834795,1.6653384,3.9243178,"oak,black_fruit,earth,red_fruit,spices,floral,vegetal,microbio,non_oak,dried_fruit,citrus_fruit,tree_fruit,tropical_fruit",20266,4.2
77888,Numanthia,España,1,0,False,2.6840546,,4.462676,1.7099488,3.4676404,"oak,black_fruit,earth,spices,red_fruit,dried_fruit,non_oak,microbio,floral,vegetal,citrus_fruit,tree_fruit",17700,4.3
17998,Terre Brune Superiore Carignano del Sulcis,Italia,1,0,False,2.4025328,,4.5741158,2.5147517,3.0631962,"oak,black_fruit,earth,spices,red_fruit,dried_fruit,microbio,floral,non_oak,citrus_fruit,vegetal,tree_fruit",10977,4.2
8302966,Cuvée No 743 Extra Brut Champagne,France,3,1,False,4.4135323,4.1797056,3.971626,,,"tree_fruit,non_oak,citrus_fruit,earth,microbio,oak,vegetal,spices,floral,dried_fruit,red_fruit",1512,4.3
1129305,Pauillac (Grand Cru Classé),France,1,0,False,4.16124,,4.094528,1.5332873,4.11363,"oak,earth,black_fruit,red_fruit,spices,dried_fruit,microbio,floral,vegetal,non_oak,citrus_fruit,tree_fruit,tropical_fruit",17777,4.2
73478,Haut-Médoc (Grand Cru Classé),France,1,0,False,4.1697874,,4.1322465,1.6503459,4.153007,"oak,black_fruit,earth,red_fruit,spices,dried_fruit,floral,vegetal,microbio,non_oak,citrus_fruit,tree_fruit,tropical_fruit",16984,4.2
80045,Margaux (Grand Cru Classé),France,1,0,False,4.145161,,3.825083,1.6469822,3.8149984,"oak,black_fruit,earth,red_fruit,spices,floral,microbio,dried_fruit,non_oak,vegetal,citrus_fruit,tree_fruit,tropical_fruit",19830,4.2
5498086,Le Petit Clos,Chile,1,0,False,3.1255941,,4.616838,1.7552454,3.5950215,"oak,black_fruit,earth,red_fruit,spices,floral,non_oak,microbio,vegetal,dried_fruit,citrus_fruit,tree_fruit,tropical_fruit",4450,4.3
1870,Malbec,Argentina,1,0,False,2.6860008,,3.9255946,2.0299911,2.3843293,"oak,black_fruit,earth,spices,red_fruit,floral,microbio,non_oak,dried_fruit,vegetal,citrus_fruit,tropical_fruit,tree_fruit",27511,4.2
79265,Saint-Julien (Grand Cru Classé),France,1,0,False,4.151992,,3.779265,1.6297884,3.8450754,"oak,earth,black_fruit,spices,red_fruit,dried_fruit,floral,microbio,non_oak,vegetal,citrus_fruit,tree_fruit,tropical_fruit",28515,4.3
6897394,La Piu Belle Rosé,Chile,4,0,False,,,,,,"red_fruit,tree_fruit,floral,citrus_fruit,earth,tropical_fruit,oak,microbio,non_oak,spices,vegetal",1917,4.2
79852,Vintage Rosé Brut Champagne,France,3,0,False,4.528735,4.432436,3.9650807,,,"red_fruit,citrus_fruit,earth,non_oak,tree_fruit,oak,microbio,spices,black_fruit,floral,vegetal,dried_fruit,tropical_fruit",5121,4.3
10625,Brunello di Montalcino,Italia,1,0,False,3.8156796,,3.217643,1.532821,3.5296423,"earth,red_fruit,oak,black_fruit,spices,dried_fruit,floral,microbio,citrus_fruit,vegetal,non_oak,tree_fruit,tropical_fruit",14434,4.2
2178564,Cocodrilo Red Blend,Argentina,1,0,False,2.912743,,4.2763224,1.8408359,3.1983204,"oak,black_fruit,earth,red_fruit,spices,floral,vegetal,dried_fruit,non_oak,microbio,tropical_fruit,tree_fruit,citrus_fruit",17555,4.2
82613,Pessac-Léognan (Grand Cru Classé de Graves),France,1,0,False,4.205684,,4.194591,1.7114866,4.2283673,"oak,earth,black_fruit,red_fruit,spices,dried_fruit,microbio,floral,citrus_fruit,non_oak,vegetal,tree_fruit,tropical_fruit",22256,4.4
1148035,Pauillac (Grand Cru Classé),France,1,0,False,4.2003794,,4.178103,1.608785,4.225047,"oak,black_fruit,earth,spices,red_fruit,dried_fruit,microbio,non_oak,floral,vegetal,citrus_fruit,tree_fruit,tropical_fruit",21593,4.2
98195,Margaux (Grand Cru Classé),France,1,0,False,4.2138057,,3.8131123,1.6144919,3.7900877,"oak,black_fruit,earth,red_fruit,spices,floral,dried_fruit,non_oak,microbio,citrus_fruit,vegetal,tree_fruit,tropical_fruit",13307,4.2
1417313,Cordillera Reserva Especial Carmenère,Chile,1,0,False,3.0381565,,4.1022606,1.9024295,2.7075024,"black_fruit,oak,earth,red_fruit,spices,vegetal,non_oak,dried_fruit,microbio,citrus_fruit,tree_fruit,floral,tropical_fruit",5380,3.8
1838753,Barsac (Grand Cru Classé),France,7,0,False,4.309756,,4.7156215,4.8755827,,"earth,tree_fruit,citrus_fruit,tropical_fruit,oak,floral,non_oak,microbio,dried_fruit,spices,vegetal,red_fruit,black_fruit",4756,4.2
1191976,Les Cédres Châteauneuf-du-Pape,France,1,0,False,3.0976362,,4.7188745,1.7740426,2.996345,"oak,earth,red_fruit,black_fruit,spices,dried_fruit,floral,non_oak,microbio,citrus_fruit,tree_fruit,vegetal,tropical_fruit",3643,4.1
23769,Margaux (Grand Cru Classé),France,1,0,False,4.1498265,,3.7267888,1.5777283,3.80891,"oak,black_fruit,earth,red_fruit,spices,floral,dried_fruit,vegetal,non_oak,microbio,citrus_fruit,tropical_fruit,tree_fruit",19933,4.2
1647617,Franco,Chile,1,0,False,,,,,,"black_fruit,earth,oak,red_fruit,spices,floral,vegetal,non_oak",480,4.2
2546192,Barone Nebbiolo,Brasil,1,0,False,,,,,,"oak,red_fruit,black_fruit,floral,earth,non_oak,spices",1687,4.1
1196206,Reserva,Portugal,1,0,False,3.1003523,,3.7249765,1.9978145,2.9789188,"oak,black_fruit,spices,earth,red_fruit,microbio,dried_fruit,non_oak,tree_fruit,floral,citrus_fruit,vegetal",2651,4.2
13801,Syrah,Chile,1,0,False,2.4651291,,4.6264644,2.010854,2.9917557,"black_fruit,oak,earth,spices,red_fruit,floral,microbio,non_oak,dried_fruit,vegetal,tropical_fruit",2713,4.1
1164787,Cedro do Noval,Portugal,1,0,False,3.0788069,,4.274363,1.7372627,3.4329011,"oak,black_fruit,earth,red_fruit,spices,floral,microbio,dried_fruit,non_oak,citrus_fruit,tree_fruit,vegetal,tropical_fruit",12312,3.9
1172675,Cot Limited Edition,Chile,1,0,False,,,,,,"black_fruit,oak,red_fruit,earth,spices,microbio,dried_fruit,vegetal,floral,non_oak,tropical_fruit,tree_fruit",7162,4.0
7303708,Terroir Selection Chardonnay,Brasil,2,0,False,3.2472317,,3.4215775,2.236459,,"oak,tree_fruit,tropical_fruit,citrus_fruit,earth,microbio,spices,non_oak",699,4.2
1301700,Terroir Hunter Carignan (T.H.),Chile,1,0,False,,,,,,"oak,black_fruit,red_fruit,earth,spices,dried_fruit,vegetal,non_oak,floral,microbio,citrus_fruit,tropical_fruit",3676,4.1
1383405,Douro Vinhas Velhas Grande Reserva,Portugal,1,0,False,2.809929,,4.4754834,1.8739817,3.103616,"oak,black_fruit,red_fruit,earth,spices,floral,microbio,tree_fruit,non_oak,vegetal",3006,4.0
1301225,RSV Reserva Moscatel Espumante,Brasil,3,0,False,3.2616725,3.17659,2.840508,,,"tropical_fruit,tree_fruit,citrus_fruit,earth,vegetal,oak,black_fruit,microbio,spices,dried_fruit,red_fruit,non_oak",2569,4.0
7149584,Gran Reserva Cabernet Sauvignon - Merlot,Chile,1,0,False,2.9827497,,4.0032344,2.5518298,3.059802,"oak,black_fruit,red_fruit,earth,spices,tropical_fruit,microbio,non_oak",1073,4.1
5054371,Alice Vieira de Sousa Reserva Tinto,Portugal,1,0,False,3.0628858,,4.3333464,1.9590268,3.4868584,"black_fruit,oak,red_fruit,spices,earth,microbio,floral,dried_fruit,non_oak",1296,3.9
4024770,Ans d'Age 20 Years Old Port,Portugal,24,1,False,,,,,,"oak,dried_fruit,citrus_fruit,non_oak,black_fruit",214,4.1
1686164,Pinot Rosé Extra Dry,Italia,3,0,False,,,,,,"red_fruit,tree_fruit,microbio,non_oak,vegetal,earth,oak",1765,4.0
1162214,Millesimé Cabernet Sauvignon,Brasil,1,0,False,3.105605,,4.102674,1.7356013,3.60135,"oak,black_fruit,earth,spices,non_oak,red_fruit,dried_fruit,citrus_fruit,microbio,vegetal",6169,3.9
1099118,Vecchie Vigne Brunello di Montalcino,Italia,1,0,False,3.935229,,3.1981163,1.6507794,3.7169285,"oak,earth,red_fruit,black_fruit,spices,floral,non_oak,microbio,citrus_fruit,dried_fruit,vegetal,tropical_fruit,tree_fruit",3311,4.3
1302624,Bricco delle Viole Barolo,Italia,1,0,False,4.604139,,3.7824125,1.6457746,4.340086,"red_fruit,earth,oak,spices,black_fruit,floral,dried_fruit,non_oak,vegetal,citrus_fruit,microbio",1444,4.1
2050619,Primitivo,Italia,1,0,False,2.3012705,,3.780533,2.7810552,2.6006148,"oak,red_fruit,earth,spices,black_fruit,dried_fruit,non_oak,microbio,tree_fruit,tropical_fruit",1366,4.0
1249804,Chablis Premier Cru Vaillons,France,2,0,False,4.0313973,,3.0770261,1.4105394,,"citrus_fruit,tree_fruit,earth,oak,microbio,non_oak,tropical_fruit,floral,spices,vegetal,black_fruit",929,3.9
3116929,Expressoes,Portugal,2,0,False,4.2542443,,2.1362367,1.4801831,,"tree_fruit,earth,citrus_fruit,tropical_fruit,oak,vegetal,microbio,non_oak,floral,spices",814,4.1
8183449,Origine,Chile,1,0,False,3.1051261,,4.4824367,1.5805882,3.3961344,"black_fruit,oak,red_fruit,spices,earth,microbio,non_oak",254,4.1
23769,Margaux (Grand Cru Classé),France,1,0,False,4.1498265,,3.7267888,1.5777283,3.80891,"oak,black_fruit,earth,red_fruit,spices,floral,dried_fruit,vegetal,non_oak,microbio,citrus_fruit,tropical_fruit,tree_fruit",19932,4.2
1190565,Rubrica Tinto,Portugal,1,0,False,3.1513488,,3.9734528,1.8063534,3.0606987,"black_fruit,oak,spices,earth,red_fruit,dried_fruit,non_oak,floral,citrus_fruit,microbio",2848,4.0
1555830,Adrianna Vineyard White Bones Chardonnay,Argentina,2,0,False,3.0893419,,3.5787437,1.9431373,,"citrus_fruit,earth,tree_fruit,oak,spices,microbio,vegetal,tropical_fruit,floral,non_oak,dried_fruit,red_fruit",2749,4.3
2156915,Tradição Tinto,Portugal,1,0,False,2.6368098,,4.03679,1.5944816,2.9448085,"oak,black_fruit,earth,floral,spices,dried_fruit,red_fruit,microbio,tree_fruit,non_oak,vegetal",1273,4.4
6909826,Grande Reserva Tinto,Portugal,1,0,False,2.9906363,,3.7780662,2.3887348,3.0786881,"oak,red_fruit,black_fruit,earth,spices,floral,non_oak,citrus_fruit,microbio",723,4.4
69744,Vintage Port,Portugal,24,0,False,,,,,,"oak,black_fruit,dried_fruit,earth,red_fruit,spices,non_oak,microbio,floral,citrus_fruit,tree_fruit,vegetal,tropical_fruit",6907,4.5
94968,Brunello di Montalcino,Italia,1,0,False,3.7685213,,3.2728212,1.6889266,3.5310216,"oak,red_fruit,earth,black_fruit,spices,dried_fruit,floral,microbio,vegetal,non_oak,tree_fruit,citrus_fruit,tropical_fruit",7127,4.2
2038623,Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,1,0,False,3.4037616,,4.199432,1.727149,3.4142525,"oak,black_fruit,earth,red_fruit,spices,dried_fruit,floral,vegetal,microbio,non_oak,citrus_fruit,tree_fruit",3998,4.3
1301873,Gran Tannat Premium,Uruguay,1,0,False,3.4948823,,4.5042715,1.8457788,4.0197487,"oak,black_fruit,red_fruit,spices,earth,microbio,non_oak,floral,vegetal",1461,4.3
2396,Alicante Bouschet - Cabernet Sauvignon,Portugal,1,0,False,3.0188963,,4.211234,1.4184372,3.2542481,"oak,black_fruit,earth,red_fruit,spices,dried_fruit,floral,vegetal,non_oak,microbio",3091,4.2
3026602,Grand Cru Limarí,Chile,1,0,False,2.5803308,,4.5490212,1.8711052,3.2059493,"oak,black_fruit,spices,earth,red_fruit,floral,microbio,non_oak,dried_fruit,vegetal,citrus_fruit,tropical_fruit,tree_fruit",6710,4.4
1196474,Tinto,Portugal,1,0,False,2.9643562,,4.2487655,1.8388151,3.0729353,"oak,black_fruit,red_fruit,earth,spices,dried_fruit,non_oak,microbio,floral,vegetal,tree_fruit,citrus_fruit",5080,4.3
1434108,Grande Rocim Reserva Tinto,Portugal,1,0,False,3.0109942,,4.2846813,2.117218,3.177285,"oak,black_fruit,earth,floral,red_fruit,spices,dried_fruit,non_oak",1115,4.2
9269450,Grand Cru Curicó,Chile,1,0,False,2.9085016,,4.3188844,1.9024466,3.3702292,,172,4.4
6003565,40 Years Old Aged Tawny Porto,Portugal,24,1,False,,,,,,"dried_fruit,non_oak,red_fruit,citrus_fruit,oak",145,4.4
2280924,Elísio,Portugal,1,0,False,3.0403323,,4.456053,1.7552631,3.4804847,"oak,black_fruit,red_fruit,spices,floral,non_oak,earth,dried_fruit",452,4.3
1300368,Don Amado,Chile,1,0,False,,,,,,"oak,black_fruit,earth,red_fruit,spices,non_oak,microbio,vegetal,dried_fruit",630,4.3
825162,Gigondas Le Claux,France,1,0,False,3.5192664,,3.8818488,1.8144164,3.4128294,"oak,earth,red_fruit,spices,black_fruit,floral,citrus_fruit,non_oak,vegetal,microbio,dried_fruit",840,4.3
6370866,4000 Black Blend,Argentina,1,0,False,,,,,,"oak,black_fruit,earth,floral,red_fruit,dried_fruit,non_oak,spices,microbio",865,4.3
